"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9176729489900158","4","2026-03-30T12:42:26.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","TabPFN-v2 🤯","ft","dino-large","730"
"tabpfnv2_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9084035454755566","4","2026-03-30T12:42:10.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","TabPFN-v2 🤯","all","dino-large","259"
"tabpfnv2p5_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9179616016872924","4","2026-03-30T12:41:46.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","TabPFN-v2p5 🇩🇪","ft","dino-large","765"
"tabpfnv2p5_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.90993535580322","4","2026-03-30T12:41:26.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","TabPFN-v2p5 🇩🇪","all","dino-large","260"
"tabm_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9195914638843948","4","2026-03-30T12:40:40.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","TabM Ⓜ️","ft","dino-large","671"
"tabm_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9076631538083646","4","2026-03-30T12:40:04.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","TabM Ⓜ️","all","dino-large","260"
"cat_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9163117289045906","4","2026-03-30T12:39:08.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","CatBoost 😸","ft","dino-large","659"
"cat_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9044814706979992","4","2026-03-30T12:38:32.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","CatBoost 😸","all","dino-large","364"
"light_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9126437885641504","4","2026-03-30T12:38:19.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","LightGBM 💡","ft","dino-large","696"
"light_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9002282207287654","4","2026-03-30T12:37:46.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","LightGBM 💡","all","dino-large","259"
"tabpfnv2_BIN_IMAGE_CELEB_ATTRACTIVENESS_3","0.9124356784739128","3","2026-03-30T12:37:46.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","TabPFN-v2 🤯","ft","dino-large","839"
"tabpfnv2_BIN_IMAGE_CELEB_ATTRACTIVENESS_3","0.9024068732359418","3","2026-03-30T12:35:35.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","TabPFN-v2 🤯","all","dino-large","405"
